10

 0 51 82 17 39 17 31 43 14 61 
51  0 14 23 17  9 74 46 38 59 
82 14  0 53 21 87 82 52 74 16 
17 23 53  0 61 22 89 96 95 28 
39 17 21 61  0 81 82 87 29 14 
17  9 87 22 81  0 41 90 66 23 
31 74 82 89 82 41  0 30  8 73 
43 46 52 96 87 90 30  0 28 69 
14 38 74 95 29 66  8 28  0 98 
61 59 16 28 14 23 73 69 98  0 

 0  3 14 44 29 83 85 57 83 85 
 3  0  8 87 99 30 13 64 92 100 
14  8  0 68 39 65 64 98 11 18 
44 87 68  0 51 16 16  9 30 13 
29 99 39 51  0 74  3 55 17 81 
83 30 65 16 74  0 71 26 88 99 
85 13 64 16  3 71  0 72  7 47 
57 64 98  9 55 26 72  0 34  7 
83 92 11 30 17 88  7 34  0 93 
85 100 18 13 81 99 47  7 93  0 

 0 46 61  7 51 79  3 21  4 97 
46  0 30 96 28 54 84 43 77 83 
61 30  0 71 68 12 65 82 41 15 
 7 96 71  0 33 15 52 54 44 65 
51 28 68 33  0 50 37 89 42 83 
79 54 12 15 50  0 28 28 70 97 
 3 84 65 52 37 28  0 51 48  1 
21 43 82 54 89 28 51  0  1 39 
 4 77 41 44 42 70 48  1  0  4 
97 83 15 65 83 97  1 39  4  0
