20

 0 14 21 89 29 73  7 77 89 44 59 33 30 99 37 98 72 70 13  3 
14  0 61 82 66  4 96 14 75 35 64 77 28 70 71 68  8  7  6 90 
21 61  0 41  8 60 92 19 44  7 89 32 54 52 25 82 83 55 65 50 
89 82 41  0 28 69  3 82 25 87 37 29 65 69 28  9 38 48 81 64 
29 66  8 28  0 81 13 67 69 12 17 56 75  2 81 18  4 34 97 73 
73  4 60 69 81  0 46 49 60 96 52 53 12 85 73 54 92 15 83 95 
 7 96 92  3 13 46  0 52 35 68 32 18 16  3 67 55 13  1 99 51 
77 14 19 82 67 49 52  0 30 17  3 70 55  3 89 71 77 42 17 46 
89 75 44 25 69 60 35 30  0 71 29 76 15 13 70 89 11 33 97  8 
44 35  7 87 12 96 68 17 71  0 20 51 74 59 57 26 83 34 47 54 
59 64 89 37 17 52 32  3 29 20  0 64 27 84 11 92 41 85 34 83 
33 77 32 29 56 53 18 70 76 51 64  0 50 64 14 28 30 73  1 60 
30 28 54 65 75 12 16 55 15 74 27 50  0 90 18 72 75 97  7 50 
99 70 52 69  2 85  3  3 13 59 84 64 90  0 57 31 44 100 90 91 
37 71 25 28 81 73 67 89 70 57 11 14 18 57  0 51 17 99 39 13 
98 68 82  9 18 54 55 71 89 26 92 28 72 31 51  0 32 83 93 61 
72  8 83 38  4 92 13 77 11 83 41 30 75 44 17 32  0 18 74 69 
70  7 55 48 34 15  1 42 33 34 85 73 97 100 99 83 18  0  4 95 
13  6 65 81 97 83 99 17 97 47 34  1  7 90 39 93 74  4  0 84 
 3 90 50 64 73 95 51 46  8 54 83 60 50 91 13 61 69 95 84  0 

 0 34 96 36 83 63 76 51 26 51 36 63 40 48 13 33 12 71 45 54 
34  0 30 12 90 51 14 97 42 43 54  3 85 79 79 45 36 54 78 67 
96 30  0 90 40 18 37 28 41 87 29 10 59 94 37 80 19 13 97 97 
36 12 90  0 60 36 64 42 46 99 89 72  2  1 17 95 63 65 76 89 
83 90 40 60  0  5 88 58 39 59  8 76 99 62 87 74 52 44 29 34 
63 51 18 36  5  0 13  5 18 96 46 64 67 82 28 79 37 47 48 60 
76 14 37 64 88 13  0  3 89 48 95 64  3  8 69 61 35 32 63 26 
51 97 28 42 58  5  3  0 25 72 21 27 21  4 40  6 17 98 11 22 
26 42 41 46 39 18 89 25  0 42 69  1  3 92 41 49 27 53 27 79 
51 43 87 99 59 96 48 72 42  0 63 11 75 33 81 11 11 92 63 76 
36 54 29 89  8 46 95 21 69 63  0 11 32 12 93 19 30 47 65 60 
63  3 10 72 76 64 64 27  1 11 11  0 68 12 28 11 68 65 29 97 
40 85 59  2 99 67  3 21  3 75 32 68  0 66 91 88 39 68 37 95 
48 79 94  1 62 82  8  4 92 33 12 12 66  0 32 15 46 83 73 71 
13 79 37 17 87 28 69 40 41 81 93 28 91 32  0 17 10  4 90 39 
33 45 80 95 74 79 61  6 49 11 19 11 88 15 17  0 99 41 54 57 
12 36 19 63 52 37 35 17 27 11 30 68 39 46 10 99  0 74  6 79 
71 54 13 65 44 47 32 98 53 92 47 65 68 83  4 41 74  0 29 83 
45 78 97 76 29 48 63 11 27 63 65 29 37 73 90 54  6 29  0 17 
54 67 97 89 34 60 26 22 79 76 60 97 95 71 39 57 79 83 17  0 

 0 28 94 46 72 21  1 24 67 92 25 17 30  3 72 64 85 90 88 59 
28  0 37 50 22 73 28 83 70 55 100 47 27 17 96 49 68 94  5 49 
94 37  0  2 17 89  7 98 84  3 65 81 84 74 51 79 22 72 77  7 
46 50  2  0 49 18  4 72 44 87 22  8 69 51 68 51 44 50 79 45 
72 22 17 49  0 75 91 97 64 75 53 15 14  1 23  5 68 58 64 77 
21 73 89 18 75  0 74 80 70 41 82  4 62 36 15  9 84  9 81 93 
 1 28  7  4 91 74  0 58 44  9 62  6 56 96 24 32 67 96 54 77 
24 83 98 72 97 80 58  0 90 20 43  8 81 47 43 38 88 34 84 99 
67 70 84 44 64 70 44 90  0 97 97 86 51 83 47 31 31 69 71 46 
92 55  3 87 75 41  9 20 97  0 62 54 80 45 20 44 43 56 11 59 
25 100 65 22 53 82 62 43 97 62  0 80 76 35 53 46 73 54 64 71 
17 47 81  8 15  4  6  8 86 54 80  0 98 34 37  4 50 24 97 91 
30 27 84 69 14 62 56 81 51 80 76 98  0 71 34 40 85 83 63 67 
 3 17 74 51  1 36 96 47 83 45 35 34 71  0 70 59 20 77 10  7 
72 96 51 68 23 15 24 43 47 20 53 37 34 70  0 71 45 97 18 58 
64 49 79 51  5  9 32 38 31 44 46  4 40 59 71  0 53 65 14 58 
85 68 22 44 68 84 67 88 31 43 73 50 85 20 45 53  0 68 66 32 
90 94 72 50 58  9 96 34 69 56 54 24 83 77 97 65 68  0 26 39 
88  5 77 79 64 81 54 84 71 11 64 97 63 10 18 14 66 26  0  4 
59 49  7 45 77 93 77 99 46 59 71 91 67  7 58 58 32 39  4  0
