90

 0 98 17 71 39 12 35 57  8 62  2 62 58 66 51  8 63 32 79 79 38 13 56 37 40 39 68 53 96 34 29 10 75 29 58  2 58 66  4 16 56 77 29  6 52 85 15 21 27 83  8 97 58 13 60 78 53 44  6 40 19 50 90 23 97 68 20 23 57  2 93 96 91 94 55 86 98 67 58 56 60 57 51 99 69 44 29 36 80 46 
98  0 71 25 93 38 39 77 45 26 21 52 27 45 74 45 45 83 76 65 88 69  5  4 28 96 74 23 22 42 10 84 77 30 31 73 39 63 18 91 24 23 66 63 43 61 51 90 57 89 56  7 66 31 37 20 47 52 88 12 94 40 21 30 11 45 30 21 81 95 29 93 89 97 58 77 50 26 90 98 42 80 46 97 37 64 79 14 97 78 
17 71  0 28 74  1 44 32 59 40 12  9 59 71 12 99 54 24 83 62 12 79 34 10 58  5 70  4 63 26 11 52 90  9 93  4 83 31 10  1 24 79 10 19 95  1 15 29 28 12 41  6 83 96 84 47 47 44 18 78 74 69 56 80  1 96 72 39 98  2 86 83 50 16  2 46 57  8 86  8 44 47 53 97  8 18 86 62 80 61 
71 25 28  0  4 96 72 21 60 96 51 28 93 31  5 33 11 39 46 53 31 79 13 10 27 19 76 18 78 72 96 57 11 59 83 61 18 30  1 75 98  3 23 79 15 69 63 23 27 45 87 16 50 81 32 37 77 62 92 84 48 42 31 59 68 19 77 89 78 17  8 35 78 61 36 72  1 100  5 17 57 65 61 71 72 50 17 32 57 93 
39 93 74  4  0 60 62 46 12 43 30 87 84 18 79 53 79 17 58 29 45 92 49 88 60 13 21 100 84  7 23 91  7 82 27 51 19  6 48 77 90 84 97 81 36 24 31 43 96 92 71 74 72 66 72 86 47 14 39 50 86 17 48 27 80 79 93 81 74  2 18 73 19 65 37 34 18 62 52 99 97 17 75 32 64 89 92 70 39 97 
12 38  1 96 60  0 27  7 59 59 92 49  2 35 28 38 84 30 57 24 73 67 99 39 60 71 29 69 58 74 51 91 27 27 16 85 12 61 63 34 48  8 95 48 72 94 19 21 93  6 58 70 95 95 14 55 81 82 32 36 37 11 34 83 39 16 91 98 28  7 13 37 50  4 70 28 69 15  5 61 50 89 53  2 34 44 23 36 11 38 
35 39 44 72 62 27  0 83 54 15 43 73 99 68  9 43 27  4 59 29 86 97 53 96  3 80 65  4 99 23 93 10 99 94 79 75 66 85 13 26 15 95 77 23 76  4 37 61 84 78 67 16 84 100 33 44  1 26 81 42 10 74 48 15 99 30 100 80  8 64 61 40 27 74 35 39 38 21  4 69 70 72 18 33 79 18 99 94 76 24 
57 77 32 21 46  7 83  0 94 100 38 83 69 44 61 73 85 31  7 45 76 49 85 89 14 29 49 49 92 91 87  1  8 98 11 34 67 35 30 13 12 25  6 28 94 83 76 42 11 69 49 55 38 98 77 39 42 32 84 71 71 10 32 58 28 79 74 39 71 90 39 30 95 19 34 58 68  5 14 85 57 26 69 60 96  9 52 28 79 87 
 8 45 59 60 12 59 54 94  0 37 55 99 99 21 98 91 71 73 93 71 91 50 14  3 57  5 55 62 39 40 60 25 86 67 40 48 72 72 12 94 16  5 43 16 10 79  3 99 25 81 22 86 79 94 32 51 59 40 65 56 37 54 39 96 53 11 26 38 30 67 74 91 35 23 69 18 93 24 93 61 66 12 74 92 71 59 80 98 91 17 
62 26 40 96 43 59 15 100 37  0 87 66 20 63 32 65 63  4 92 17 42 19 100 92 82 34  2 25 45 80 68 41 61 87 51  6 30  5 79  1 54  9 69 96 70 81 15 78 35 25 62 58 20 80 100 53 93 29 15 94 91 49 20 89 16 52 64 31 73 45 50 22 51 79  9 36 72 21 42 35 62 42 61 70 73 64 70 74 91 29 
 2 21 12 51 30 92 43 38 55 87  0 75 14 63  6 58 85 40 75 34 55 70 38 83 79 24 13 48 54 48 56 68 34 23 87  7 61 58  9 37 12 37 11 18  9 91 57  3 38 74 57 45 22 86 44 33 11 17  6 82 95  2 99 16 45  8 54 89 57 96 10 89 29 46 85 86 51 35 15 100  4 78 29 45 14 96 72 87 40 55 
62 52  9 28 87 49 73 83 99 66 75  0 67 72 45 72 11 39 49 28 71 50 64 23 98 26 43 74 93 79 81 14 89 46 87 62 26 28 61 11 36 62 65 76 16 10 17 46 67 20 13 92 49  4 36 17 78 53 33  6 99 96 84 71 91 57 59 29 37 97 24 64 65 53 64 100 62 39 22 75 73 68 13 16 72 59 99  4 34 36 
58 27 59 93 84  2 99 69 99 20 14 67  0 73 38 36 65 75 46 98 19 51 88 38 21  7 71 19 41 14 63 30 74 82  4 39 94 90 57 14 52 99 75  3 16 96 63 89 29 15 18 55 24 67 47 98 78 30 96 45 29 82 16 86 18 20 97 21 49 10 88 63 62 55 90 54 79  4  3 47 37 18 78 97  6 40 65 86 77 21 
66 45 71 31 18 35 68 44 21 63 63 72 73  0 49 56 34 76 25 15 59 24 54 23 43  4 45 93  3 54 16 62 68 55 63 84 25 11  9 34 93 57 48 85 78 27 14 42 75 98 76 37 35 94 52 75 57 95 60 15 15 94 84 74 25 63 90 56 58 76 83 54 93 83 74 96 98  6 89 52 62 100 13 23 40 98 92 71 87 62 
51 74 12  5 79 28  9 61 98 32  6 45 38 49  0 71 64 64 40 36 18 93 21 48 39 78 56 92 13 81 94 72 33 75 96 39 95 29 63 78  1 26 43 93 54 61 46 35 27 65 74 49 35 22 94 37 27 32 63 49 45 41 86 85 80 95 53 69 37 83 19 15 30 82 47 80 100 19 78 33 30 78 17 22 59 96 43 42  5 15 
