[17, 13, 0, 15, 5, 6, 10, 14, 12, 18, 4, 2, 9, 3, 1, 8, 16, 7, 19, 11], 990998.0, 946764.0, 1
[8, 2, 9, 14, 0, 15, 13, 4, 18, 11, 7, 5, 6, 17, 1, 19, 3, 10, 16, 12], 907324.0, 983522.0, 1
[10, 0, 8, 12, 19, 17, 5, 14, 11, 18, 2, 15, 4, 6, 3, 16, 9, 13, 1, 7], 912438.0, 1013316.0, 1
[1, 13, 0, 11, 5, 19, 6, 10, 14, 18, 4, 2, 9, 3, 12, 15, 17, 8, 16, 7], 968720.0, 961234.0, 1
[17, 13, 2, 10, 15, 19, 3, 11, 8, 18, 12, 6, 0, 7, 14, 9, 16, 5, 4, 1], 913982.0, 1008126.0, 1
[13, 5, 4, 15, 7, 10, 18, 11, 9, 17, 1, 2, 0, 8, 12, 16, 19, 6, 14, 3], 942220.0, 966156.0, 1
[13, 5, 6, 7, 15, 18, 0, 10, 12, 4, 2, 3, 17, 16, 14, 19, 9, 1, 8, 11], 930704.0, 974092.0, 1
[8, 2, 14, 15, 13, 4, 18, 11, 0, 5, 6, 17, 3, 10, 7, 19, 9, 1, 16, 12], 955706.0, 964500.0, 1
[13, 5, 6, 7, 15, 18, 14, 12, 10, 3, 2, 4, 17, 16, 0, 19, 9, 1, 8, 11], 922330.0, 978828.0, 1
[18, 17, 2, 15, 9, 11, 14, 1, 16, 8, 4, 5, 7, 0, 10, 6, 19, 12, 13, 3], 916246.0, 1044866.0, 2
[17, 7, 19, 5, 6, 16, 13, 11, 14, 18, 4, 2, 9, 3, 12, 15, 1, 8, 0, 10], 994046.0, 965654.0, 2
[13, 5, 2, 10, 6, 7, 15, 18, 14, 12, 3, 4, 17, 16, 0, 19, 9, 1, 8, 11], 907958.0, 1013416.0, 2
[17, 7, 19, 5, 6, 16, 13, 11, 14, 18, 4, 2, 9, 3, 12, 15, 1, 8, 0, 10], 994046.0, 965654.0, 2
[13, 14, 3, 15, 7, 10, 18, 11, 9, 17, 1, 2, 0, 8, 12, 16, 19, 6, 4, 5], 961276.0, 969120.0, 2
[18, 17, 11, 15, 13, 16, 14, 1, 8, 4, 9, 5, 7, 0, 10, 6, 19, 12, 2, 3], 923640.0, 1043564.0, 2
[17, 7, 19, 5, 6, 16, 13, 1, 11, 14, 12, 18, 4, 2, 9, 8, 3, 15, 0, 10], 952212.0, 983176.0, 2
[13, 5, 7, 4, 14, 12, 15, 8, 10, 9, 17, 3, 1, 18, 6, 0, 2, 16, 19, 11], 920788.0, 1001628.0, 2
[1, 13, 0, 15, 11, 5, 19, 6, 10, 14, 12, 18, 4, 2, 9, 3, 17, 8, 16, 7], 958886.0, 972798.0, 2
[13, 5, 6, 12, 16, 17, 7, 15, 18, 14, 10, 3, 2, 4, 19, 0, 9, 1, 8, 11], 915760.0, 991320.0, 2
[1, 13, 0, 15, 17, 2, 10, 19, 3, 11, 8, 18, 12, 6, 14, 9, 16, 5, 4, 7], 936572.0, 980206.0, 2
[14, 13, 11, 1, 2, 15, 19, 4, 8, 18, 12, 6, 0, 3, 10, 16, 7, 9, 5, 17], 934782.0, 986042.0, 2
[2, 18, 7, 9, 0, 1, 15, 11, 5, 12, 4, 19, 6, 10, 14, 3, 17, 16, 13, 8], 913772.0, 1010184.0, 2
[1, 5, 11, 13, 14, 15, 19, 4, 8, 18, 12, 6, 0, 3, 10, 2, 9, 17, 16, 7], 927900.0, 978992.0, 2
[9, 1, 7, 18, 2, 0, 15, 11, 5, 12, 4, 19, 6, 10, 14, 3, 17, 16, 13, 8], 928576.0, 1012316.0, 2
[1, 13, 0, 15, 17, 2, 10, 19, 3, 8, 12, 5, 14, 11, 18, 4, 6, 16, 9, 7], 926206.0, 980620.0, 2
