[8, 2, 9, 14, 0, 15, 13, 4, 18, 11, 7, 5, 6, 17, 1, 19, 3, 10, 16, 12], 907324.0, 983522.0, 1
[17, 7, 19, 5, 6, 16, 13, 11, 14, 18, 4, 2, 9, 3, 12, 15, 1, 8, 0, 10], 994046.0, 965654.0, 1
[13, 14, 3, 15, 7, 10, 18, 11, 9, 17, 1, 2, 0, 8, 12, 16, 19, 6, 4, 5], 961276.0, 969120.0, 1
[13, 5, 6, 7, 15, 18, 14, 12, 10, 3, 2, 4, 17, 16, 0, 19, 9, 1, 8, 11], 922330.0, 978828.0, 1
[13, 5, 6, 7, 15, 18, 0, 10, 12, 4, 2, 3, 17, 16, 14, 19, 9, 1, 8, 11], 930704.0, 974092.0, 1
[1, 13, 0, 15, 11, 5, 19, 6, 10, 14, 12, 18, 4, 2, 9, 3, 17, 8, 16, 7], 958886.0, 972798.0, 1
[1, 5, 11, 13, 14, 15, 19, 4, 8, 18, 12, 6, 0, 3, 10, 2, 9, 17, 16, 7], 927900.0, 978992.0, 2
[10, 18, 11, 14, 9, 17, 1, 7, 2, 15, 16, 3, 5, 13, 0, 8, 4, 12, 6, 19], 997918.0, 987736.0, 2
[10, 0, 8, 12, 19, 17, 5, 14, 11, 18, 2, 15, 4, 6, 3, 16, 9, 13, 1, 7], 912438.0, 1013316.0, 2
[10, 0, 8, 12, 19, 17, 5, 14, 11, 18, 2, 15, 4, 6, 3, 16, 9, 13, 1, 7], 912438.0, 1013316.0, 2
[14, 13, 11, 1, 2, 15, 19, 4, 8, 18, 12, 6, 0, 3, 10, 16, 7, 9, 5, 17], 934782.0, 986042.0, 2
[13, 5, 7, 4, 14, 12, 15, 8, 10, 9, 17, 3, 1, 18, 6, 0, 2, 16, 19, 11], 920788.0, 1001628.0, 2
[17, 13, 2, 10, 15, 19, 3, 11, 8, 18, 12, 6, 0, 7, 14, 9, 16, 5, 4, 1], 913982.0, 1008126.0, 2
[2, 18, 7, 9, 0, 1, 15, 11, 5, 12, 4, 19, 6, 10, 14, 3, 17, 16, 13, 8], 913772.0, 1010184.0, 2
[18, 17, 2, 15, 9, 11, 14, 1, 16, 8, 4, 5, 7, 0, 10, 6, 19, 12, 13, 3], 916246.0, 1044866.0, 3
[1, 13, 0, 15, 17, 2, 10, 19, 3, 11, 8, 18, 12, 6, 14, 9, 16, 5, 4, 7], 936572.0, 980206.0, 3
[13, 14, 3, 15, 7, 17, 11, 10, 9, 19, 12, 8, 1, 18, 6, 0, 2, 16, 4, 5], 984724.0, 992358.0, 3
[17, 7, 19, 5, 6, 16, 13, 1, 11, 14, 12, 18, 4, 2, 9, 8, 3, 15, 0, 10], 952212.0, 983176.0, 3
[5, 8, 15, 18, 13, 2, 14, 10, 9, 11, 4, 3, 1, 19, 12, 7, 16, 6, 17, 0], 966522.0, 993634.0, 3
[2, 5, 19, 18, 6, 16, 13, 17, 7, 9, 0, 11, 10, 3, 12, 15, 1, 8, 4, 14], 941830.0, 991480.0, 3
[1, 13, 9, 18, 2, 0, 15, 11, 12, 5, 4, 19, 6, 10, 14, 3, 17, 8, 16, 7], 961790.0, 1001034.0, 3
[10, 0, 8, 12, 13, 17, 5, 14, 11, 18, 15, 6, 4, 2, 9, 3, 16, 19, 1, 7], 917330.0, 1033546.0, 3
[18, 17, 11, 15, 13, 16, 14, 1, 8, 4, 9, 5, 7, 0, 10, 6, 19, 12, 2, 3], 923640.0, 1043564.0, 3
[9, 1, 7, 18, 2, 0, 15, 11, 5, 12, 4, 19, 6, 10, 14, 3, 17, 16, 13, 8], 928576.0, 1012316.0, 3
[13, 14, 3, 15, 7, 17, 11, 10, 19, 5, 6, 16, 1, 12, 18, 4, 2, 9, 8, 0], 919464.0, 1022602.0, 3
