30

 0 53 82 73 92 98 87 28 75 16 54 32 99 69  3  9 32 38 84 36 18 68 75 21 94 14 59  2 25 70 
53  0 41 69  3 61 12 39 12 80 55 42 17 95 77 83 64 96 31 74 37 72 13 51 86 31 66 83 68 41 
82 41  0 98 13  8 96 20 16 52 71 88 97 84  5 34 100 51 24 46 29 90 97 10 36 28 89 28 36 83 
73 69 98  0 46 57 68 68 55  3 89 51 47 39  5 60 38 94 91 12 98 74 29 73 68 37 84 67  8 84 
92  3 13 46  0 30 17 51 15 34 26 70 34 53 42 28 92 30 27 90 81 22 92 18 10 24 98 98 36 46 
98 61  8 57 30  0 71 25 74 37 92  7  1 47 88 33 17  6 40 50 86 40 82 55 28  7 84 42 10  3 
87 12 96 68 17 71  0 33 27 71 28 55  7 19 71 24 60 37 41 90  5 82 50 89 97 64 40 54 10 44 
28 39 20 68 51 25 33  0 50 25 72 48 90  7 28 77 52 38 80 26 46 17  2 36 22  6 43 72 85 39 
75 12 16 55 15 74 27 50  0 28 31 34 39 43 53 69  4 76  7  2 47 60 63  6 84  4 48 58 82 26 
16 80 52  3 34 37 71 25 28  0 51 15 93 49  5 27 95 47 48 86  1  6 47 18 19 88 73 35 97 64 
54 55 71 89 26 92 28 72 31 51  0  1 74 41 52 12  5 21 36 20 75 49  7  5 24 79 83 97 10 18 
32 42 88 51 70  7 55 48 34 15  1  0  4  2 91 38 19 61 56 65 52 60 78 48  7 91 36  5 46 25 
99 17 97 47 34  1  7 90 39 93 74  4  0 37 74  1 14 61 35 23 86 43  7 75 42 13 96 98 100 70 
69 95 84 39 53 47 19  7 43 49 41  2 37  0 37 96 81 85 39 43 10 21  6 24 98 70 76 80 92 89 
 3 77  5  5 42 88 71 28 53  5 52 91 74 37  0 60 68  6 44 53 14 57 32 79 33 74 82  3 48 48 
 9 83 34 60 28 33 24 77 69 27 12 38  1 96 60  0 21 48 72 56 36 77 31 50 22 69 61 72 72 44 
32 64 100 38 92 17 60 52  4 95  5 19 14 81 68 21  0 55 62 64 63 32 38 36  8 75 64 58 70 25 
38 96 51 94 30  6 37 38 76 47 21 61 61 85  6 48 55  0 27 68  1 21 35 19 45  5 61 64 98 24 
84 31 24 91 27 40 41 80  7 48 36 56 35 39 44 72 62 27  0 34 85 46 70 23 59 42 63 62 34 90 
36 74 46 12 90 50 90 26  2 86 20 65 23 43 53 56 64 68 34  0 47  7 67 42 60 94 90 26 99 55 
18 37 29 98 81 86  5 46 47  1 75 52 86 10 14 36 63  1 85 47  0 83 62 50 12 91 52 40 95 11 
68 72 90 74 22 40 82 17 60  6 49 60 43 21 57 77 32 21 46  7 83  0 30 25 59 56 29 96 81 50 
75 13 97 29 92 82 50  2 63 47  7 78  7  6 32 31 38 35 70 67 62 30  0 47 54 14 77 43 48 48 
21 51 10 73 18 55 89 36  6 18  5 48 75 24 79 50 36 19 23 42 50 25 47  0 94 61 50 59 89 33 
94 86 36 68 10 28 97 22 84 19 24  7 42 98 33 22  8 45 59 60 12 59 54 94  0 18 35 15 26 26 
14 31 28 37 24  7 64  6  4 88 79 91 13 70 74 69 75  5 42 94 91 56 14 61 18  0 51 100 44 33 
59 66 89 84 98 84 40 43 48 73 83 36 96 76 82 61 64 61 63 90 52 29 77 50 35 51  0 37 67 65 
 2 83 28 67 98 42 54 72 58 35 97  5 98 80  3 72 58 64 62 26 40 96 43 59 15 100 37  0 42 24 
25 68 36  8 36 10 10 85 82 97 10 46 100 92 48 72 70 98 34 99 95 81 48 89 26 44 67 42  0 82 
70 41 83 84 46  3 44 39 26 64 18 25 70 89 48 44 25 24 90 55 11 50 48 33 26 33 65 24 82  0 

 0 83 33 74 17 91 28 70 69 99 44 32 65 49  7 30 95 47 87 91 55 68  7 14 77 60  1  9 11 61 
83  0 40 59 13  1 86 85 99 76 87 49 70 38 77 74 10 43 16 23 81 24 67 36 99 27 95 24 16 63 
33 40  0 26 56 65 98 23 14 33 70 51 24  5 28 78 91 90 29 14  6 33 52 16 11 28 61 34 19 58 
74 59 26  0 53 92 21 38 74 99 51 20 31  8 38 48 97 92 58  6 30 39 38 76 33 45 42 33 34 76 
17 13 56 53  0 55 62 68 90 92 29 37 94 54 63 19 99 61 79 21 90 49 84 85 42 90 70 35 46  2 
91  1 65 92 55  0 80 67 14 39 37  4 76  6 33 31 86 86 82 58 29 68 79 17 92 65 81 66 87 55 
28 86 98 21 62 80  0  3 47 20 37 14 10 56 97 61 33 50 16 28 37 58 24 37 24 10 62 86 37 97 
70 85 23 38 68 67  3  0 75  2  5 66 48 48 58 16 73 47 55 49 79 26 78 20 84 24 42 96 27 94 
69 99 14 74 90 14 47 75  0 31 36 51 63 21 67 20  9 73 27 48 82 72 24 55 53 63 89 35 53 57 
99 76 33 99 92 39 20  2 31  0 39 52 15 72 63 73 39 47 80 20 46 82 96  1 51 25 97 99 67 74 
44 87 70 51 29 37 37  5 36 39  0 14 92 23 90 28 82 43 27 32 40 10 10 30 64 14 52 15 16 40 
32 49 51 20 37  4 14 66 51 52 14  0 83 54 29 24 25 25 59 67 42 63 19 64 64 65  8 86 95  4 
65 70 24 31 94 76 10 48 63 15 92 83  0 100  1 55 17 47 26 92 84 57 74 29  2 70 94 66 26 74 
49 38  5  8 54  6 56 48 21 72 23 54 100  0 80 99 99 25  3 21 95 64  8 84 83 12 18 73 37 51 
 7 77 28 38 63 33 97 58 67 63 90 29  1 80  0 65 80 37  4 36 73 39 97 63 65 95 83 63 17 28 
30 74 78 48 19 31 61 16 20 73 28 24 55 99 65  0 19 68 42 27 87 58 26 39 99 41 54 16 85 77 
95 10 91 97 99 86 33 73  9 39 82 25 17 99 80 19  0 16 83 48 34 43 46 73 63 100 10 46 22 83 
47 43 90 92 61 86 50 47 73 47 43 25 47 25 37 68 16  0 36 83 78 98  2 61 28 82 91 94 10 95 
87 16 29 58 79 82 16 55 27 80 27 59 26  3  4 42 83 36  0  3 49 21 22 36 59 49  2 24 44 65 
91 23 14  6 21 58 28 49 48 20 32 67 92 21 36 27 48 83  3  0 56 92 38 86 87 42 36 75  1 63 
55 81  6 30 90 29 37 79 82 46 40 42 84 95 73 87 34 78 49 56  0 58 92 64 51 10 67 17 81 58 
68 24 33 39 49 68 58 26 72 82 10 63 57 64 39 58 43 98 21 92 58  0 29 99 90 84 45 12 91 66 
 7 67 52 38 84 79 24 78 24 96 10 19 74  8 97 26 46  2 22 38 92 29  0 29  6 55 78 49 75 29 
14 36 16 76 85 17 37 20 55  1 30 64 29 84 63 39 73 61 36 86 64 99 29  0 31 24 19 67 34 20 
77 99 11 33 42 92 24 84 53 51 64 64  2 83 65 99 63 28 59 87 51 90  6 31  0  4 58 19  4 86 
60 27 28 45 90 65 10 24 63 25 14 65 70 12 95 41 100 82 49 42 10 84 55 24  4  0 18 63 84 43 
 1 95 61 42 70 81 62 42 89 97 52  8 94 18 83 54 10 91  2 36 67 45 78 19 58 18  0  6 10 16 
 9 24 34 33 35 66 86 96 35 99 15 86 66 73 63 16 46 94 24 75 17 12 49 67 19 63  6  0 63 75 
11 16 19 34 46 87 37 27 53 67 16 95 26 37 17 85 22 10 44  1 81 91 75 34  4 84 10 63  0 26 
61 63 58 76  2 55 97 94 57 74 40  4 74 51 28 77 83 95 65 63 58 66 29 20 86 43 16 75 26  0 

 0 89 21 62 15 37 41 26 72 63 90 69 64 28 76 52 57  2 88 75 95 50 36  3 11  2 57 77 29  9 
89  0 95 82 30 35 74 22 84 23 47 44 95 84 15 86 33  2 54 27 23 94 73 99 84 57 20 11 22 98 
21 95  0  8 88 17 96 79 20 21 87 90 93 45 68 16 93 88 55 48  1 100 18 15 32 73  4 45 74 93 
62 82  8  0 83 27  6 76 23 48 31 61 25 24 31  3 37 64 83 57 22 94 99 87 38 25 75 95 61 65 
15 30 88 83  0 11 45 60 15 70 21 48 32 65  5 17 76 77 84 24  5 66 83 39 80 19 96 33 27 84 
37 35 17 27 11  0 78 97 95 99 41 18 12 100 70 57 50 47 34 53 62 94 95 92 91 18  9 96 22 80 
41 74 96  6 45 78  0 95  2 96 52 62 94 82 84 82 13 11 64  6 53 41 52 51 92 17  6  1 79 28 
26 22 79 76 60 97 95  0  7 43 67 62 66 10 54 10 32  7 73 93 36 16 84 82 28 52 60 52 17 86 
72 84 20 23 15 95  2  7  0 77 55 97  2 85 63 18 39 79 13 93 77 27 14  1 93 83 30 25 91 26 
63 23 21 48 70 99 96 43 77  0 85 64 13  8 69 94 94 20 11 67 90 48 68 64 74 99 77  6 13 48 
90 47 87 31 21 41 52 67 55 85  0 32 15 81 15  3 11 15 52 43 60 34 88 43 15 64 45 55 46 23 
69 44 90 61 48 18 62 62 97 64 32  0  4 82 43 47 84  4 11 29 61  2 14 58 71 37 28 85 97 56 
64 95 93 25 32 12 94 66  2 13 15  4  0 16 33 25 85 23 21 51 96 41 21 93 68 36 86 42  8 12 
28 84 45 24 65 100 82 10 85  8 81 82 16  0 41  8 97 14 28 41 49 92 100 39 48 81 74 81 61 30 
76 15 68 31  5 70 84 54 63 69 15 43 33 41  0 57 64  2 48 28 30 74  8 77 47 64 49 92 43 67 
52 86 16  3 17 57 82 10 18 94  3 47 25  8 57  0 46 25 28 26 76 85 80 69 78 62 34 75 89 92 
57 33 93 37 76 50 13 32 39 94 11 84 85 97 64 46  0 10 11 37 58 67 57 85  2 26  5 14 69 95 
 2  2 88 64 77 47 11  7 79 20 15  4 23 14  2 25 10  0 56 73 45 34 97 52 44 41 70 56 22 86 
88 54 55 83 84 34 64 73 13 11 52 11 21 28 48 28 11 56  0 84  2 17 37 23  5 70 10 48 90 64 
75 27 48 57 24 53  6 93 93 67 43 29 51 41 28 26 37 73 84  0 17 92 57 91 72 41 13 60  6 52 
95 23  1 22  5 62 53 36 77 90 60 61 96 49 30 76 58 45  2 17  0 10 98 40 91 32 59 38 27 36 
50 94 100 94 66 94 41 16 27 48 34  2 41 92 74 85 67 34 17 92 10  0 77 81 61 52 35 67 51  5 
36 73 18 99 83 95 52 84 14 68 88 14 21 100  8 80 57 97 37 57 98 77  0  9 58  7  2 54 49 45 
 3 99 15 87 39 92 51 82  1 64 43 58 93 39 77 69 85 52 23 91 40 81  9  0 83 73 66 54 54  3 
11 84 32 38 80 91 92 28 93 74 15 71 68 48 47 78  2 44  5 72 91 61 58 83  0 51 83 66 40 91 
 2 57 73 25 19 18 17 52 83 99 64 37 36 81 64 62 26 41 70 41 32 52  7 73 51  0 12 30 18 44 
57 20  4 75 96  9  6 60 30 77 45 28 86 74 49 34  5 70 10 13 59 35  2 66 83 12  0 85 48  1 
77 11 45 95 33 96  1 52 25  6 55 85 42 81 92 75 14 56 48 60 38 67 54 54 66 30 85  0 30 34 
29 22 74 61 27 22 79 17 91 13 46 97  8 61 43 89 69 22 90  6 27 51 49 54 40 18 48 30  0 94 
 9 98 93 65 84 80 28 86 26 48 23 56 12 30 67 92 95 86 64 52 36  5 45  3 91 44  1 34 94  0
