150

 0 30 31  1 63 91 30 71 23 43 76 78 91 66 44 24  4 17 63 80 87 39 60 51 13 38 77 80 33 48 38 79 37 39 69 100 25 80 94 35 65 11 51 91 62 20 26 98 13 61 10 44 36 73 90 22 77 98 82 88 53 66 61 23 23 14 40 32 96 75 30 11 68 41 90 38 22 30 56 72 71 50 79  8 65 70 81 16 42 30 60  4 72 32 42 44 57 77 11 54 50  6 95 22 25 97 11 21 84 74 96 42 31 58 43 42 16 34 55 90 25 15 27 37 46 100 53 75 42 55 12 35  1 36 95 60 38 51 12 47 89 75 22 95 79 62 45  8 96 47 
30  0 51 96  1 56 92 33 28 73 68 77 42 63  2 26 47 57 16 46 28 21 17 56 99 52 52  5 15 14 71 15 10 71 37 19 59  1 25  8 19 70 52 91 16 14  8 93 75 75 51 32 94 63 17 73 11 31 30 67 69 31 52 53 80 26 25 82 72 43 64 26 43 39 47 32 12 45 56 86 26 40 54 18 33 74 36 35 34 27 95 84 32 77 83 77 43 49  3 87 88  3 51 84 64 63  9 75 32 49 12 58 42  2 99 45 79  6 69 57 50 97 51 34 84 96 21 94 87 81 89 13 33 81 93  4 16 41 22 59  3 47 35  7 47 61 40 59 75 31 
31 51  0 60 85 14 43 45 38 91 59 44 55 70  7  7 42 21 94 45 53 13 64 74 80 88 24 44 67 56 60 19 47 77 32 34 50 88 25 43 54 75 23 89 27 90 100 31 42 53 43 55 28 52 93 88 29 17 17 11 87  1 91  5  6 80 20 56 59 18 53 31 55 39 82 44 59  9 93 88 74 49 33 100 14 76 44 49 30  7 96 46 88 44 36 96  4 92  6 94 35 22 35 60 50 40 17  4 53 40 100 43 90 52 34 53 79 97 91 55 18 46 14 86 17  6 24 78 33 79 30 20  6 33 31 45 32 14 42 68 44 60  8 15 77 70 77 52 79 39 
 1 96 60  0 47 61 38 21 15 65 60 71 71  2 38  4 23 25 96 57 16  1 38 28 73 57 10 59 92 63  2 44 95 49 18 19  3 53 13 47 23 69 36 50 13  1 62 73 59 18 96 15 98 45 62 77 26 10 65 53 61 97 23 22 70 100 62  7 20 22 74 47 74 15 40 63 56 71 13 23 50 92 34 30 50 57 15 76 92 47 65 56 17 57 28 65 48 90 27 23 69 65 10 74 66 72  1 68 29 24  4 11 29 68 78 31 94 45 61 59 87 80 58 66 72 59 12  3 20 22 82 71 33  3 36 27 19 49  9 64 46 96 14 99 97 97 76 79 63 46 
63  1 85 47  0 18 55 40 69 58 67 80 19 15 76 78 25 24 11  2 93 20 12 12 59 61 16 74 41  5 35 93 85 40 94 22 44 10 84 35 21 30 62 78 70 83 15 37 72 69 14 61 74 24 77 73 99  3 73 94 94 52 28 84 28 55 54 43 37 56 92 27 14 91 23 28 66 98 97 88 14 40 34 69  9 22 53 53 51 92 41 18 79 26 13 15 12 12  4 79 77  7 98 49 48 92 63 39 48 75 52 34 95 11  4 23 94 100 71 77 55 31 67 88 33 28  9 18 82 67 29 84 41 65 75 39  3 23 100 74 21 43 79 87 92 13 89 79 90 14 
91 56 14 61 18  0 87 63 76 72 71 40 59 15 77 86 82 58 16 64 51 57 18 51 72 29 94 47  3 23 82 40 96 19 29 57 69 90 99 88 39 66 39 19 17 26 21 78 96 74 50 60 87 31 46 95 37 20 72 28 80 92 24 85 12 86 36 92  1 47 92 87 53 16 69 31 11 92 51  1 13 34 98  5 100 44 94  7 100 64 24 95 74 94 29 36 17  3 64  4 53 60 11 66 95 74 57 30 26 40 93  8 88 73 10 22 14 33  7  7 68 91 93 72 44 17 100 82 27 78 26 13 64 57 41 21 62 70 99 25 61 95 30 92  3 82 34 85 22  5 
30 92 43 38 55 87  0 95 24 36 97  6 18 13 87 54 14  8 82 97 42 95 67 92 67 35 65 62 13 16 17 40 97  1 49 86 92 21 55 82 89 13 26 50 69  5  5 100 55 61 18 88  4 48  2 44 28 52 16 55 88 86 29 15 33 37 38 14 96 73 41 83 71 85 25 54 89 36 46 46  7 99 86 51 99 54 96 53  7 68  2 93 37 94  1 62 97 98 35 75 36  2 95 32 70 46 66 91 44 69 13 75 92 18 51 85 72 72 30 41 94  9  2 75 23 81 57 63 50 55 38 91 13 46 84 99  2 26 100 25 46 77 51 84 55 23  1 78 92 35 
71 33 45 21 40 63 95  0 40 56  3  3 62 92 15 48 37 53 32 22 74 100 49 30 65 82 88 57 79 14 81 90  9 22 44  9 76 56 35 44 81 29 77 27 53  5 24 23 41 29 18  6 86 26 47  4 10 74 17 56 14 70 98  1 86 93 78 54 96  1 43 45 91 12 59 42 86 36 69 74 42 10 61 95 26 39 18 65 77 31 61 97 100 43 15 12 23 27 70 69 24  1 77  4 17 90 55 94 26 61  3 94 48 100 47 50 64 57 90 11 12 70 21 63 91 56 94 70 47 50 21 96 34 100 42 74 83 10 15 58 35 59 98 67 76 73 83 53 47  3 
23 28 38 15 69 76 24 40  0 71 91 31 21  9 28 47 51 28 32 90 64 20 70 28 83 49 28 59 97 85 33 16 50 84 52 80 44 31 14 42 98 43 95 95 71 11 21 56 59 13 92  4 71 91 66 27 32 65 30 27 56 52 63  2 80 82 74 60  7 10 32 12 39  6 74 29 100 12 91 50 97  2 86 80 84 65 22 42 50 69 28 65 47 98 16 77 60 43 68 61  2 68 50  6 89 48 60  7 69 96 42 22 89 69 79 21 97 42 60 92 57 57 27 26 47 51 18 37 17  8 58  7  1 86 38  8 20 100 64 31 99 11  6 64 89 16 71 56 57 54 
43 73 91 65 58 72 36 56 71  0 95 84 46 15 62 66  2  2 43 37 42 61 54 98 34 45 42 97 44 35 87 58 55 25 44 53 30 48 48 57 80 21 88 35 71 42 35 34 89 78 65 22 42 64 25 89 62 30 38 90 15 53  7 39  2 16 81 82 62 31 18 79 57 40 35 88  1 29 85  3 52 73 55 67 27 91 83 94 96 71 24 62 41 92  5 96 51 59 70 21 83 13 85 43 63 79  9 26 61 15  6 35 44 92 27 28  5 16 14 14 38  9 12 40 48 51 57 83 26 31 52  2 37 40 62  2 40 31 93 39 31 66 93  2 62 73 36 79 68 76 
